,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-23 01:12,,,,,,,,
2026-04-23 03:09,,,,,,,,
2026-04-23 07:53,,,,,,,,
2026-04-23 08:51,30.0,,13.0,10.0,50.0,25.0,5.0,5.0
2026-04-23 11:02,40.0,,30.0,35.0,65.0,45.0,30.0,5.0
2026-04-23 12:48,60.0,,75.0,30.0,85.0,50.0,45.0,5.0
2026-04-23 13:59,40.0,,85.0,25.0,70.0,30.0,40.0,10.0
2026-04-23 15:10,40.0,,105.0,25.0,,35.0,45.0,5.0
2026-04-23 16:12,50.0,,80.0,25.0,,,40.0,5.0
2026-04-23 17:06,,,115.0,15.0,110.0,50.0,35.0,5.0
2026-04-23 17:57,,,110.0,15.0,125.0,45.0,30.0,5.0
2026-04-23 18:40,50.0,,105.0,15.0,70.0,40.0,40.0,5.0
