,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-06-28 03:36,,,,,
2026-06-28 08:11,10.0,65.0,10.0,30.0,
2026-06-28 10:14,25.0,55.0,40.0,55.0,25.0
2026-06-28 11:40,30.0,45.0,55.0,50.0,35.0
2026-06-28 12:46,35.0,75.0,35.0,45.0,35.0
2026-06-28 13:51,35.0,50.0,40.0,10.0,45.0
2026-06-28 14:55,20.0,45.0,45.0,5.0,40.0
2026-06-28 16:05,20.0,80.0,55.0,5.0,50.0
2026-06-28 17:14,30.0,45.0,20.0,5.0,40.0
2026-06-28 18:14,,,,,
2026-06-28 19:18,,,,,
2026-06-28 21:33,,,,,
