,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-06-28 03:36,,,,,,,,
2026-06-28 08:11,,,,,,,,
2026-06-28 10:14,50.0,,15.0,20.0,50.0,40.0,35.0,5.0
2026-06-28 11:40,45.0,,35.0,45.0,75.0,35.0,50.0,10.0
2026-06-28 12:46,60.0,,45.0,30.0,70.0,40.0,,5.0
2026-06-28 13:51,50.0,,85.0,25.0,60.0,40.0,65.0,5.0
2026-06-28 14:55,55.0,,45.0,40.0,70.0,,55.0,5.0
2026-06-28 16:05,50.0,,35.0,15.0,50.0,30.0,40.0,5.0
2026-06-28 17:14,45.0,,70.0,20.0,50.0,30.0,35.0,5.0
2026-06-28 18:14,30.0,,25.0,15.0,50.0,30.0,35.0,5.0
2026-06-28 19:18,40.0,,40.0,15.0,45.0,25.0,40.0,5.0
2026-06-28 21:33,,,,,,,,
