,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-05 02:25,,,,,
2026-07-05 05:26,,,,,
2026-07-05 08:08,5.0,40.0,5.0,5.0,
2026-07-05 10:03,5.0,55.0,25.0,30.0,5.0
2026-07-05 11:20,20.0,70.0,50.0,25.0,15.0
2026-07-05 12:29,25.0,65.0,50.0,20.0,
2026-07-05 13:36,,35.0,35.0,10.0,10.0
2026-07-05 14:41,15.0,30.0,30.0,10.0,45.0
2026-07-05 15:55,,35.0,25.0,10.0,
2026-07-05 16:46,5.0,30.0,35.0,10.0,
2026-07-05 17:42,15.0,15.0,15.0,10.0,
2026-07-05 18:39,,,,,
2026-07-05 19:41,,,,,
2026-07-05 21:21,,,,,
2026-07-05 22:48,,,,,
