,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-05 02:25,,,,,,,,
2026-07-05 05:26,,,,,,,,
2026-07-05 08:08,,,,,,,,
2026-07-05 10:03,20.0,,13.0,15.0,40.0,20.0,20.0,5.0
2026-07-05 11:20,35.0,,20.0,20.0,45.0,30.0,30.0,5.0
2026-07-05 12:29,40.0,,30.0,20.0,,30.0,35.0,5.0
2026-07-05 13:36,40.0,,15.0,20.0,,25.0,35.0,5.0
2026-07-05 14:41,30.0,,20.0,30.0,45.0,30.0,40.0,5.0
2026-07-05 15:55,65.0,,13.0,15.0,,20.0,30.0,5.0
2026-07-05 16:46,20.0,,20.0,15.0,70.0,20.0,30.0,5.0
