,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-05 02:25,,,,,,,,,,
2026-07-05 05:26,,,,,,,,,,
2026-07-05 08:08,,,,,,,,,,
2026-07-05 10:03,,65.0,25.0,15.0,5.0,5.0,25.0,35.0,5.0,5.0
2026-07-05 11:20,,50.0,40.0,30.0,10.0,5.0,45.0,40.0,5.0,5.0
2026-07-05 12:29,40.0,50.0,35.0,30.0,5.0,15.0,15.0,40.0,5.0,
2026-07-05 13:36,95.0,55.0,30.0,,,5.0,15.0,45.0,5.0,5.0
2026-07-05 14:41,75.0,55.0,30.0,15.0,5.0,5.0,15.0,45.0,5.0,5.0
2026-07-05 15:55,,65.0,40.0,55.0,5.0,5.0,15.0,45.0,5.0,5.0
2026-07-05 16:46,30.0,65.0,25.0,25.0,5.0,5.0,15.0,40.0,0.0,5.0
2026-07-05 17:42,60.0,60.0,30.0,20.0,5.0,5.0,15.0,45.0,0.0,5.0
2026-07-05 18:39,80.0,45.0,30.0,15.0,5.0,5.0,15.0,40.0,5.0,5.0
2026-07-05 19:41,75.0,90.0,45.0,15.0,5.0,5.0,15.0,40.0,5.0,5.0
2026-07-05 21:21,,,,,,,,,,
2026-07-05 22:48,,,,,,,,,,
