,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-09-05 03:07,,,,,,,,,,
2026-09-05 09:36,65.0,105.0,35.0,10.0,5.0,10.0,10.0,35.0,5.0,5.0
2026-09-05 12:13,105.0,60.0,40.0,45.0,30.0,25.0,30.0,55.0,15.0,35.0
2026-09-05 14:17,50.0,95.0,60.0,35.0,35.0,10.0,15.0,50.0,10.0,5.0
2026-09-05 16:26,,110.0,85.0,40.0,20.0,15.0,20.0,65.0,20.0,5.0
2026-09-05 18:07,,95.0,60.0,45.0,20.0,15.0,20.0,60.0,20.0,5.0
2026-09-05 19:50,60.0,95.0,,30.0,10.0,10.0,20.0,70.0,10.0,5.0
2026-09-05 21:21,,,,,,,,,,
