,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-20 01:24,,,,,,,,,,
2026-04-20 03:26,,,,,,,,,,
2026-04-20 07:59,,,,,,,,,,
2026-04-20 09:43,65.0,80.0,30.0,15.0,5.0,15.0,15.0,55.0,5.0,5.0
2026-04-20 11:05,80.0,75.0,45.0,35.0,25.0,25.0,15.0,,15.0,35.0
2026-04-20 12:19,95.0,75.0,60.0,50.0,40.0,15.0,15.0,,5.0,10.0
2026-04-20 13:31,70.0,75.0,40.0,40.0,25.0,15.0,15.0,65.0,5.0,35.0
2026-04-20 14:35,60.0,55.0,60.0,35.0,15.0,15.0,20.0,70.0,15.0,20.0
2026-04-20 15:41,80.0,65.0,50.0,30.0,20.0,15.0,15.0,90.0,10.0,10.0
2026-04-20 16:24,70.0,65.0,40.0,40.0,10.0,,15.0,70.0,10.0,15.0
2026-04-20 17:05,75.0,65.0,50.0,25.0,15.0,15.0,15.0,60.0,10.0,15.0
