,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-20 01:24,,,,,
2026-04-20 03:26,,,,,
2026-04-20 07:59,5.0,70.0,10.0,,
2026-04-20 09:43,20.0,55.0,45.0,65.0,
2026-04-20 11:05,35.0,65.0,55.0,70.0,45.0
2026-04-20 12:19,30.0,90.0,55.0,50.0,35.0
2026-04-20 13:31,35.0,60.0,50.0,50.0,45.0
2026-04-20 14:35,35.0,40.0,60.0,15.0,10.0
2026-04-20 15:41,30.0,30.0,45.0,10.0,15.0
2026-04-20 16:24,20.0,40.0,45.0,10.0,15.0
2026-04-20 17:05,15.0,35.0,50.0,15.0,5.0
2026-04-20 17:57,10.0,50.0,40.0,10.0,5.0
2026-04-20 18:40,5.0,35.0,35.0,10.0,
