,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-20 01:24,,,,,,,,,,,,,,,,,,,,
2026-04-20 03:26,,,,,,,,,,,,,,,,,,,,
2026-04-20 07:59,,,,,,,,,,,,,,,,,,,,
2026-04-20 09:43,,50.0,35.0,10.0,35.0,,10.0,10.0,10.0,13.0,15.0,5.0,5.0,10.0,,5.0,25.0,,10.0,
2026-04-20 11:05,60.0,50.0,55.0,40.0,50.0,,45.0,25.0,25.0,35.0,20.0,30.0,20.0,10.0,,,35.0,20.0,10.0,
2026-04-20 12:19,80.0,60.0,40.0,45.0,50.0,,50.0,20.0,15.0,40.0,30.0,15.0,15.0,10.0,25.0,15.0,20.0,20.0,10.0,
2026-04-20 13:31,65.0,55.0,45.0,30.0,40.0,,30.0,10.0,15.0,30.0,25.0,15.0,15.0,10.0,,35.0,20.0,25.0,10.0,
2026-04-20 14:35,80.0,55.0,40.0,40.0,40.0,,30.0,25.0,10.0,25.0,10.0,15.0,10.0,15.0,25.0,25.0,10.0,30.0,10.0,
2026-04-20 15:41,75.0,55.0,35.0,50.0,50.0,,25.0,15.0,10.0,30.0,20.0,10.0,10.0,15.0,40.0,25.0,15.0,15.0,10.0,
2026-04-20 16:24,70.0,50.0,50.0,40.0,40.0,,30.0,15.0,5.0,35.0,20.0,20.0,10.0,15.0,35.0,35.0,15.0,20.0,10.0,
2026-04-20 17:05,55.0,,35.0,35.0,45.0,,35.0,15.0,5.0,25.0,10.0,25.0,5.0,10.0,,20.0,10.0,20.0,10.0,
2026-04-20 17:57,65.0,,50.0,35.0,40.0,,35.0,15.0,15.0,35.0,5.0,15.0,10.0,10.0,35.0,30.0,10.0,10.0,10.0,
2026-04-20 18:40,75.0,60.0,35.0,20.0,40.0,,25.0,10.0,10.0,20.0,5.0,20.0,5.0,10.0,35.0,20.0,20.0,15.0,10.0,
2026-04-20 19:26,85.0,60.0,40.0,25.0,45.0,,25.0,15.0,10.0,25.0,5.0,15.0,5.0,10.0,60.0,10.0,10.0,20.0,10.0,
2026-04-20 20:03,75.0,55.0,40.0,15.0,40.0,,30.0,15.0,10.0,15.0,5.0,15.0,5.0,10.0,45.0,20.0,10.0,20.0,10.0,
