,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-28 01:45,,,,,,,,
2026-04-28 03:56,,,,,,,,
2026-04-28 08:19,,,,,,,,
2026-04-28 12:28,90.0,,40.0,35.0,60.0,65.0,40.0,5.0
2026-04-28 14:02,75.0,,30.0,30.0,60.0,60.0,90.0,5.0
2026-04-28 15:26,70.0,,45.0,15.0,50.0,40.0,35.0,5.0
2026-04-28 15:52,60.0,,30.0,25.0,50.0,40.0,35.0,5.0
2026-04-28 16:54,50.0,,30.0,15.0,,30.0,40.0,5.0
2026-04-28 17:49,50.0,,40.0,,60.0,45.0,25.0,5.0
2026-04-28 18:41,45.0,,15.0,15.0,55.0,45.0,40.0,5.0
2026-04-28 19:36,40.0,,40.0,25.0,50.0,40.0,40.0,5.0
2026-04-28 21:19,,,,,,,,
2026-04-28 22:36,,,,,,,,
