,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-03-17 00:04,,,,,,,,,,,,,,,,,,,,
2026-03-17 01:35,,,,,,,,,,,,,,,,,,,,
2026-03-17 02:42,,,,,,,,,,,,,,,,,,,,
2026-03-17 03:41,,,,,,,,,,,,,,,,,,,,
2026-03-17 07:36,,,,,,,,,,,,,,,,,,,,
2026-03-17 08:07,,,,,,,,,,,,,,,,,,,,
2026-03-17 09:47,,65.0,40.0,5.0,60.0,,55.0,15.0,40.0,15.0,,10.0,15.0,5.0,40.0,15.0,25.0,5.0,10.0,
2026-03-17 10:43,30.0,75.0,,5.0,60.0,,75.0,25.0,10.0,40.0,,30.0,25.0,10.0,45.0,40.0,20.0,20.0,10.0,
2026-03-17 11:45,120.0,75.0,55.0,10.0,50.0,,65.0,40.0,40.0,55.0,,30.0,25.0,15.0,45.0,45.0,25.0,30.0,25.0,
2026-03-17 12:45,105.0,75.0,60.0,25.0,70.0,,80.0,35.0,35.0,65.0,,45.0,30.0,10.0,65.0,40.0,30.0,50.0,25.0,
2026-03-17 13:43,115.0,75.0,75.0,20.0,60.0,,70.0,40.0,30.0,65.0,,40.0,35.0,20.0,50.0,50.0,40.0,40.0,20.0,
2026-03-17 14:37,120.0,90.0,45.0,50.0,75.0,,80.0,45.0,45.0,55.0,,30.0,25.0,15.0,45.0,55.0,40.0,50.0,25.0,
