,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-17 00:04,,,,,,,,
2026-03-17 01:35,,,,,,,,
2026-03-17 02:42,,,,,,,,
2026-03-17 03:41,,,,,,,,
2026-03-17 07:36,,,,,,,,
2026-03-17 08:07,,,,,,,,
2026-03-17 09:47,110.0,,40.0,65.0,80.0,65.0,50.0,5.0
2026-03-17 10:43,,,65.0,95.0,105.0,75.0,65.0,45.0
2026-03-17 11:45,85.0,,80.0,110.0,90.0,105.0,80.0,45.0
2026-03-17 12:45,120.0,,75.0,105.0,110.0,90.0,85.0,40.0
2026-03-17 13:43,115.0,,150.0,110.0,110.0,65.0,75.0,40.0
2026-03-17 14:37,105.0,,75.0,95.0,120.0,80.0,70.0,25.0
2026-03-17 15:38,110.0,,90.0,85.0,110.0,65.0,70.0,25.0
2026-03-17 16:05,110.0,,90.0,80.0,130.0,50.0,70.0,30.0
2026-03-17 16:53,105.0,,75.0,75.0,100.0,45.0,55.0,5.0
2026-03-17 17:24,75.0,,70.0,75.0,90.0,60.0,50.0,20.0
2026-03-17 17:58,70.0,,60.0,60.0,120.0,45.0,65.0,10.0
2026-03-17 18:31,70.0,,55.0,70.0,90.0,,70.0,10.0
2026-03-17 19:02,70.0,,65.0,50.0,90.0,45.0,45.0,10.0
2026-03-17 19:40,50.0,,45.0,45.0,85.0,60.0,60.0,10.0
2026-03-17 20:01,50.0,,50.0,50.0,80.0,60.0,40.0,10.0
2026-03-17 21:56,,,,,,,,
