,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-03-17 00:04,,,,,,,,,,
2026-03-17 01:35,,,,,,,,,,
2026-03-17 02:42,,,,,,,,,,
2026-03-17 03:41,,,,,,,,,,
2026-03-17 07:36,,,,,,,,,,
2026-03-17 08:07,,,,,,,,,,
2026-03-17 09:47,105.0,135.0,60.0,30.0,15.0,30.0,15.0,,5.0,5.0
2026-03-17 10:43,120.0,140.0,60.0,60.0,40.0,45.0,30.0,,5.0,45.0
2026-03-17 11:45,90.0,105.0,90.0,60.0,40.0,45.0,60.0,35.0,20.0,40.0
