,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-17 00:04,,,,,
2026-03-17 01:35,,,,,
2026-03-17 02:42,,,,,
2026-03-17 03:41,,,,,
2026-03-17 07:36,,30.0,10.0,,
2026-03-17 08:07,,95.0,10.0,,
2026-03-17 09:47,35.0,110.0,75.0,50.0,
2026-03-17 10:43,45.0,120.0,75.0,75.0,5.0
2026-03-17 11:45,75.0,150.0,60.0,90.0,5.0
2026-03-17 12:45,60.0,130.0,75.0,60.0,5.0
2026-03-17 13:43,55.0,105.0,55.0,70.0,5.0
2026-03-17 14:37,45.0,90.0,60.0,55.0,5.0
2026-03-17 15:38,75.0,85.0,70.0,45.0,5.0
