,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-12 01:40,,,,,
2026-07-12 03:48,,,,,
2026-07-12 07:50,5.0,45.0,5.0,,
2026-07-12 08:41,5.0,45.0,10.0,30.0,
2026-07-12 10:12,25.0,55.0,60.0,40.0,
2026-07-12 11:14,15.0,60.0,35.0,50.0,50.0
2026-07-12 12:12,35.0,50.0,40.0,40.0,
2026-07-12 13:15,40.0,45.0,50.0,10.0,15.0
2026-07-12 14:09,,65.0,50.0,10.0,
2026-07-12 15:21,,45.0,30.0,10.0,
2026-07-12 16:10,10.0,40.0,30.0,10.0,
2026-07-12 17:04,10.0,15.0,30.0,10.0,10.0
