,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-12 01:40,,,,,,,,
2026-07-12 03:48,,,,,,,,
2026-07-12 07:50,,,,,,,,
2026-07-12 08:41,25.0,,13.0,10.0,70.0,15.0,,5.0
2026-07-12 10:12,45.0,,50.0,25.0,55.0,30.0,40.0,5.0
2026-07-12 11:14,45.0,,25.0,45.0,,35.0,40.0,5.0
2026-07-12 12:12,55.0,,30.0,35.0,,40.0,45.0,5.0
2026-07-12 13:15,40.0,,35.0,50.0,80.0,35.0,40.0,5.0
2026-07-12 14:09,55.0,,35.0,40.0,,40.0,50.0,5.0
2026-07-12 15:21,45.0,,45.0,30.0,,40.0,50.0,5.0
2026-07-12 16:10,45.0,,45.0,35.0,,30.0,40.0,5.0
2026-07-12 17:04,35.0,,60.0,20.0,,35.0,45.0,5.0
2026-07-12 18:00,50.0,,75.0,30.0,,30.0,40.0,5.0
2026-07-12 18:53,25.0,,45.0,30.0,,35.0,40.0,5.0
2026-07-12 19:38,45.0,,30.0,20.0,110.0,40.0,50.0,5.0
