,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-30 00:52,,,,,,,,
2026-03-30 02:22,,,,,,,,
2026-03-30 04:06,,,,,,,,
2026-03-30 07:47,,,,,,,,
2026-03-30 08:42,40.0,,13.0,20.0,110.0,,15.0,5.0
2026-03-30 10:11,120.0,,65.0,85.0,145.0,75.0,70.0,30.0
2026-03-30 11:38,115.0,,70.0,125.0,120.0,50.0,70.0,40.0
2026-03-30 12:36,95.0,,70.0,75.0,120.0,60.0,50.0,35.0
2026-03-30 13:31,95.0,,60.0,110.0,110.0,,65.0,25.0
2026-03-30 14:32,95.0,,55.0,100.0,90.0,80.0,60.0,30.0
2026-03-30 15:34,105.0,,50.0,110.0,110.0,65.0,65.0,15.0
