,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-03-30 00:52,,,,,,,,,,,,,,,,,,,,
2026-03-30 02:22,,,,,,,,,,,,,,,,,,,,
2026-03-30 04:06,,,,,,,,,,,,,,,,,,,,
2026-03-30 07:47,,45.0,,,45.0,,5.0,5.0,5.0,,,,5.0,,,,5.0,5.0,,
2026-03-30 08:42,80.0,70.0,30.0,10.0,45.0,,30.0,20.0,15.0,13.0,,5.0,10.0,5.0,30.0,5.0,25.0,5.0,,
2026-03-30 10:11,95.0,65.0,55.0,45.0,55.0,,35.0,30.0,40.0,30.0,,25.0,20.0,15.0,35.0,30.0,25.0,20.0,10.0,
2026-03-30 11:38,85.0,70.0,65.0,45.0,60.0,,55.0,30.0,45.0,50.0,,45.0,25.0,10.0,55.0,40.0,25.0,25.0,10.0,
2026-03-30 12:36,85.0,75.0,50.0,50.0,50.0,,55.0,25.0,20.0,30.0,,20.0,20.0,15.0,30.0,30.0,25.0,25.0,10.0,
2026-03-30 13:31,80.0,75.0,60.0,70.0,65.0,,55.0,35.0,45.0,40.0,,30.0,15.0,15.0,40.0,30.0,20.0,35.0,10.0,
2026-03-30 14:32,75.0,70.0,60.0,65.0,65.0,,50.0,30.0,25.0,60.0,,25.0,15.0,15.0,30.0,25.0,20.0,35.0,10.0,
2026-03-30 15:34,80.0,70.0,60.0,75.0,60.0,,,20.0,25.0,35.0,,25.0,20.0,10.0,50.0,25.0,25.0,30.0,10.0,
2026-03-30 16:07,105.0,70.0,70.0,80.0,50.0,,,35.0,30.0,40.0,,30.0,25.0,10.0,40.0,,30.0,35.0,10.0,
2026-03-30 16:59,90.0,80.0,65.0,60.0,65.0,,70.0,35.0,45.0,40.0,,45.0,20.0,10.0,40.0,35.0,25.0,40.0,15.0,
2026-03-30 17:42,80.0,70.0,45.0,65.0,50.0,,70.0,50.0,30.0,30.0,,30.0,10.0,15.0,30.0,25.0,20.0,25.0,15.0,
2026-03-30 18:21,75.0,70.0,55.0,45.0,40.0,,65.0,25.0,20.0,35.0,,25.0,10.0,15.0,45.0,25.0,20.0,35.0,15.0,
2026-03-30 18:58,90.0,70.0,50.0,45.0,45.0,,55.0,25.0,20.0,30.0,,25.0,10.0,15.0,35.0,25.0,15.0,35.0,15.0,
2026-03-30 19:34,110.0,65.0,50.0,40.0,50.0,,70.0,35.0,15.0,40.0,,15.0,15.0,15.0,35.0,25.0,20.0,5.0,15.0,
2026-03-30 20:01,95.0,75.0,65.0,40.0,55.0,,70.0,25.0,35.0,25.0,,25.0,15.0,15.0,45.0,25.0,15.0,5.0,15.0,
2026-03-30 22:03,70.0,45.0,10.0,5.0,,,25.0,5.0,5.0,5.0,,5.0,5.0,15.0,25.0,5.0,5.0,5.0,,
