,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-30 00:52,,,,,
2026-03-30 02:22,,,,,
2026-03-30 04:06,,,,,
2026-03-30 07:47,5.0,60.0,10.0,,
2026-03-30 08:42,25.0,145.0,50.0,30.0,
2026-03-30 10:11,45.0,105.0,70.0,70.0,25.0
2026-03-30 11:38,65.0,110.0,80.0,85.0,60.0
2026-03-30 12:36,50.0,110.0,95.0,80.0,45.0
2026-03-30 13:31,40.0,95.0,70.0,55.0,110.0
2026-03-30 14:32,55.0,80.0,65.0,60.0,100.0
2026-03-30 15:34,60.0,95.0,75.0,50.0,35.0
2026-03-30 16:07,75.0,80.0,75.0,50.0,65.0
2026-03-30 16:59,40.0,75.0,60.0,30.0,45.0
