,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-30 01:15,,,,,,,,,,
2026-07-30 03:42,,,,,,,,,,
2026-07-30 08:22,,,,,,,,,,
2026-07-30 10:37,75.0,55.0,,50.0,15.0,20.0,15.0,35.0,5.0,5.0
2026-07-30 12:10,,75.0,30.0,35.0,20.0,20.0,15.0,,15.0,10.0
2026-07-30 13:45,,70.0,40.0,35.0,20.0,10.0,15.0,55.0,5.0,5.0
2026-07-30 15:01,,75.0,,25.0,20.0,15.0,15.0,,10.0,5.0
2026-07-30 16:18,125.0,65.0,75.0,30.0,15.0,20.0,15.0,60.0,10.0,5.0
2026-07-30 17:34,60.0,125.0,60.0,30.0,5.0,5.0,15.0,70.0,10.0,5.0
2026-07-30 18:39,80.0,70.0,50.0,15.0,5.0,5.0,15.0,,10.0,5.0
2026-07-30 19:38,75.0,120.0,65.0,20.0,5.0,5.0,15.0,25.0,10.0,10.0
2026-07-30 21:09,,,,,,,,,,
