,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-30 01:15,,,,,,,,
2026-07-30 03:42,,,,,,,,
2026-07-30 08:22,,,,,,,,
2026-07-30 10:37,55.0,,55.0,35.0,70.0,40.0,,10.0
2026-07-30 12:10,65.0,,20.0,55.0,,55.0,65.0,20.0
2026-07-30 13:45,45.0,,30.0,25.0,55.0,55.0,45.0,10.0
2026-07-30 15:01,60.0,,50.0,65.0,70.0,55.0,,5.0
2026-07-30 16:18,45.0,,50.0,40.0,85.0,45.0,40.0,5.0
2026-07-30 17:34,50.0,,30.0,40.0,90.0,40.0,65.0,10.0
2026-07-30 18:39,40.0,,40.0,30.0,100.0,40.0,50.0,5.0
2026-07-30 19:38,55.0,,70.0,40.0,65.0,40.0,40.0,5.0
2026-07-30 21:09,30.0,,25.0,15.0,45.0,25.0,35.0,5.0
