,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-05-22 02:47,,,,,,,,,,,,,,,,,,,,
2026-05-22 06:01,,,,,,,,,,,,,,,,,,,,
2026-05-22 09:22,75.0,45.0,15.0,10.0,25.0,25.0,20.0,5.0,5.0,13.0,5.0,,10.0,15.0,20.0,,10.0,5.0,10.0,
2026-05-22 11:58,60.0,50.0,40.0,35.0,40.0,30.0,50.0,20.0,15.0,30.0,15.0,10.0,15.0,15.0,30.0,30.0,20.0,15.0,10.0,
2026-05-22 13:50,40.0,50.0,30.0,50.0,40.0,45.0,40.0,15.0,5.0,20.0,15.0,5.0,10.0,10.0,35.0,20.0,5.0,15.0,10.0,
2026-05-22 15:17,35.0,40.0,30.0,40.0,40.0,45.0,,10.0,5.0,25.0,10.0,5.0,5.0,15.0,20.0,15.0,5.0,15.0,10.0,
2026-05-22 16:49,55.0,45.0,30.0,55.0,45.0,45.0,40.0,15.0,0.0,20.0,15.0,5.0,10.0,15.0,25.0,25.0,15.0,5.0,10.0,
