,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-22 02:47,,,,,,,,,,
2026-05-22 06:01,,,,,,,,,,
2026-05-22 09:22,50.0,80.0,25.0,5.0,5.0,5.0,15.0,40.0,5.0,5.0
2026-05-22 11:58,60.0,70.0,50.0,25.0,20.0,20.0,15.0,60.0,5.0,25.0
2026-05-22 13:50,105.0,65.0,50.0,25.0,10.0,10.0,15.0,55.0,10.0,5.0
2026-05-22 15:17,65.0,60.0,45.0,35.0,10.0,10.0,15.0,70.0,15.0,10.0
2026-05-22 16:49,65.0,95.0,60.0,30.0,5.0,10.0,15.0,50.0,20.0,5.0
2026-05-22 17:51,65.0,85.0,65.0,25.0,5.0,10.0,15.0,50.0,5.0,5.0
2026-05-22 18:44,75.0,70.0,40.0,20.0,5.0,5.0,15.0,40.0,10.0,10.0
2026-05-22 19:47,75.0,,45.0,25.0,5.0,5.0,15.0,60.0,10.0,5.0
2026-05-22 21:28,,,,,,,,,,
