,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-18 00:24,,,,,,,,
2026-03-18 01:45,,,,,,,,
2026-03-18 02:44,,,,,,,,
2026-03-18 03:41,,,,,,,,
2026-03-18 07:37,,,,,,,,
2026-03-18 08:08,,,,,,,,
2026-03-18 09:50,120.0,,60.0,80.0,110.0,65.0,40.0,10.0
2026-03-18 10:53,105.0,,60.0,90.0,120.0,75.0,70.0,35.0
2026-03-18 11:57,110.0,,85.0,85.0,130.0,80.0,65.0,55.0
2026-03-18 12:56,120.0,,75.0,95.0,130.0,,70.0,30.0
2026-03-18 13:55,125.0,,70.0,95.0,105.0,55.0,70.0,35.0
2026-03-18 14:45,75.0,,75.0,105.0,130.0,90.0,70.0,35.0
2026-03-18 15:38,105.0,,70.0,110.0,,50.0,70.0,30.0
