,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-12 01:07,,,,,,,,
2026-04-12 02:46,,,,,,,,
2026-04-12 03:53,,,,,,,,
2026-04-12 07:26,,,,,,,,
2026-04-12 07:53,,,,,,,,
2026-04-12 08:30,,,,,,,,
2026-04-12 09:40,,,,50.0,70.0,55.0,40.0,5.0
2026-04-12 10:22,,,,30.0,80.0,55.0,50.0,15.0
2026-04-12 11:01,,,,45.0,70.0,55.0,40.0,5.0
2026-04-12 11:41,,,,55.0,80.0,,55.0,5.0
2026-04-12 12:05,,,,55.0,80.0,45.0,50.0,5.0
2026-04-12 12:53,,,,45.0,70.0,,45.0,10.0
2026-04-12 13:23,30.0,,,45.0,75.0,,50.0,5.0
2026-04-12 13:56,90.0,,,25.0,60.0,45.0,80.0,5.0
2026-04-12 14:37,,,,40.0,70.0,55.0,,5.0
2026-04-12 15:25,80.0,,,15.0,50.0,50.0,45.0,5.0
2026-04-12 15:56,80.0,,,25.0,55.0,45.0,30.0,5.0
