,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-12 01:07,,,,,
2026-04-12 02:46,,,,,
2026-04-12 03:53,,,,,
2026-04-12 07:26,,,,,
2026-04-12 07:53,5.0,60.0,10.0,,
2026-04-12 08:30,5.0,55.0,20.0,25.0,
2026-04-12 09:40,30.0,80.0,50.0,65.0,
2026-04-12 10:22,35.0,60.0,55.0,65.0,15.0
2026-04-12 11:01,35.0,75.0,45.0,55.0,20.0
2026-04-12 11:41,40.0,70.0,65.0,60.0,30.0
2026-04-12 12:05,50.0,70.0,70.0,55.0,50.0
2026-04-12 12:53,35.0,60.0,55.0,60.0,55.0
2026-04-12 13:23,50.0,65.0,55.0,50.0,50.0
2026-04-12 13:56,30.0,70.0,50.0,50.0,35.0
2026-04-12 14:37,35.0,60.0,40.0,30.0,65.0
2026-04-12 15:25,25.0,55.0,55.0,25.0,40.0
2026-04-12 15:56,25.0,55.0,50.0,20.0,40.0
2026-04-12 16:28,20.0,50.0,40.0,5.0,35.0
2026-04-12 17:01,20.0,55.0,45.0,15.0,55.0
2026-04-12 17:43,15.0,50.0,40.0,5.0,20.0
2026-04-12 18:03,15.0,45.0,35.0,10.0,
2026-04-12 18:48,5.0,35.0,35.0,5.0,
2026-04-12 19:20,,,,,
2026-04-12 19:54,,,,,
