,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-14 01:20,,,,,
2026-08-14 02:48,,,,,
2026-08-14 04:03,,,,,
2026-08-14 07:36,5.0,50.0,10.0,,
2026-08-14 08:25,5.0,80.0,25.0,20.0,
2026-08-14 09:49,35.0,55.0,45.0,45.0,10.0
2026-08-14 10:41,20.0,50.0,55.0,45.0,45.0
2026-08-14 11:29,35.0,55.0,55.0,40.0,40.0
2026-08-14 12:23,35.0,60.0,45.0,20.0,40.0
2026-08-14 13:15,40.0,70.0,40.0,10.0,45.0
2026-08-14 14:07,35.0,60.0,50.0,5.0,50.0
2026-08-14 15:08,25.0,50.0,50.0,10.0,
2026-08-14 15:52,25.0,55.0,40.0,10.0,40.0
2026-08-14 16:17,35.0,40.0,45.0,10.0,20.0
