,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-14 01:20,,,,,,,,,,
2026-08-14 02:48,,,,,,,,,,
2026-08-14 04:03,,,,,,,,,,
2026-08-14 07:36,,,,,,,,,,
2026-08-14 08:25,,,,,,,,,,
2026-08-14 09:49,60.0,55.0,25.0,5.0,5.0,10.0,15.0,40.0,5.0,5.0
2026-08-14 10:41,40.0,65.0,35.0,35.0,10.0,25.0,15.0,35.0,5.0,15.0
2026-08-14 11:29,,75.0,35.0,35.0,5.0,40.0,15.0,35.0,5.0,10.0
2026-08-14 12:23,,65.0,40.0,50.0,15.0,20.0,15.0,55.0,5.0,20.0
2026-08-14 13:15,45.0,60.0,40.0,25.0,15.0,,15.0,60.0,5.0,20.0
2026-08-14 14:07,,65.0,60.0,25.0,5.0,,15.0,40.0,5.0,10.0
2026-08-14 15:08,,65.0,,45.0,5.0,,15.0,55.0,15.0,5.0
