,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-10 02:27,,,,,,,,
2026-07-10 06:00,,,,,,,,
2026-07-10 09:02,40.0,,13.0,20.0,60.0,10.0,15.0,5.0
2026-07-10 11:36,45.0,,35.0,25.0,60.0,45.0,45.0,5.0
2026-07-10 13:22,50.0,,70.0,45.0,55.0,40.0,25.0,5.0
2026-07-10 14:52,55.0,,45.0,50.0,,45.0,105.0,5.0
2026-07-10 16:08,40.0,,30.0,20.0,75.0,35.0,35.0,5.0
2026-07-10 17:17,50.0,,75.0,20.0,80.0,25.0,30.0,5.0
2026-07-10 18:18,,,40.0,25.0,115.0,45.0,50.0,5.0
2026-07-10 19:14,,,90.0,35.0,160.0,45.0,45.0,15.0
