,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-01 01:07,,,,,
2026-04-01 02:53,,,,,
2026-04-01 04:11,,,,,
2026-04-01 07:43,5.0,40.0,10.0,,
2026-04-01 08:42,10.0,120.0,25.0,30.0,
2026-04-01 10:16,35.0,115.0,45.0,85.0,30.0
2026-04-01 11:44,,95.0,75.0,70.0,100.0
2026-04-01 12:37,,95.0,70.0,60.0,75.0
2026-04-01 13:32,35.0,80.0,60.0,55.0,65.0
2026-04-01 14:11,55.0,70.0,60.0,35.0,55.0
2026-04-01 15:20,55.0,60.0,50.0,35.0,45.0
2026-04-01 16:04,30.0,50.0,50.0,15.0,40.0
2026-04-01 16:57,35.0,50.0,50.0,10.0,20.0
2026-04-01 17:37,35.0,50.0,40.0,5.0,20.0
2026-04-01 18:07,35.0,50.0,40.0,10.0,20.0
2026-04-01 18:54,25.0,45.0,45.0,5.0,20.0
2026-04-01 19:26,10.0,30.0,40.0,,
2026-04-01 19:55,10.0,40.0,30.0,,
