,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-01 01:07,,,,,,,,
2026-04-01 02:53,,,,,,,,
2026-04-01 04:11,,,,,,,,
2026-04-01 07:43,,,,,,,,
2026-04-01 08:42,130.0,,50.0,,,70.0,55.0,5.0
2026-04-01 10:16,95.0,,80.0,90.0,120.0,60.0,50.0,35.0
2026-04-01 11:44,95.0,,50.0,55.0,130.0,55.0,60.0,35.0
2026-04-01 12:37,80.0,,75.0,95.0,,60.0,55.0,35.0
2026-04-01 13:32,95.0,,90.0,95.0,,75.0,75.0,10.0
2026-04-01 14:11,95.0,,130.0,85.0,,85.0,60.0,40.0
2026-04-01 15:20,85.0,,55.0,95.0,105.0,60.0,35.0,10.0
2026-04-01 16:04,80.0,,120.0,45.0,120.0,60.0,55.0,10.0
2026-04-01 16:57,80.0,,110.0,60.0,140.0,55.0,45.0,5.0
2026-04-01 17:37,80.0,,50.0,60.0,140.0,75.0,45.0,10.0
2026-04-01 18:07,80.0,,50.0,45.0,160.0,40.0,55.0,10.0
2026-04-01 18:54,45.0,,40.0,45.0,140.0,45.0,35.0,10.0
2026-04-01 19:26,60.0,,60.0,50.0,120.0,50.0,40.0,10.0
2026-04-01 19:55,50.0,,50.0,35.0,110.0,35.0,35.0,10.0
