Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
The Twilight Zone Tower of Terror,24.0,4.0,4.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy Story Mania!,44.0,4.0,0.0,12.0,12.0,12.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Mickey & Minnie's Runaway Railway,24.0,4.0,0.0,12.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millennium Falcon: Smugglers Run,24.0,4.0,0.0,0.0,44.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slinky Dog Dash,24.0,0.0,0.0,0.0,16.0,8.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Star Wars: Rise of the Resistance,32.0,0.0,0.0,0.0,12.0,28.0,16.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Star Tours,24.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock 'n' Roller Coaster Starring Aerosmith,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
