Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
Toy Story Mania!,0.0,0.0,0.0,21.4,50.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mickey & Minnie's Runaway Railway,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millennium Falcon: Smugglers Run,14.3,0.0,0.0,0.0,28.6,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Star Tours,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slinky Dog Dash,0.0,0.0,0.0,0.0,0.0,0.0,85.7,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Twilight Zone Tower of Terror,0.0,0.0,0.0,28.6,14.3,35.7,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Star Wars: Rise of the Resistance,21.4,0.0,0.0,0.0,14.3,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock 'n' Roller Coaster Starring Aerosmith,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
