,Morning (05-10),Late Morning (10-12),Noon (12-14),Afternoon (14-16),Late Afternoon (16-18),Evening (18-20),Night (20-24)
Toy Story Mania!,,,,65.0,45.0,65.0,
Mickey & Minnie's Runaway Railway,,,,50.0,60.0,70.0,
Millennium Falcon: Smugglers Run,,,,60.0,60.0,50.0,
Star Tours,,,,5.0,10.0,5.0,
Slinky Dog Dash,,,,90.0,85.0,95.0,
The Twilight Zone Tower of Terror,,,,60.0,60.0,70.0,
Star Wars: Rise of the Resistance,,,,65.0,65.0,,
Rock 'n' Roller Coaster Starring Aerosmith,,,,,,,
