,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-21 01:09,,,,,,,,
2026-04-21 03:04,,,,,,,,
2026-04-21 07:53,,,,,,,,
2026-04-21 08:51,50.0,,,10.0,50.0,35.0,,5.0
2026-04-21 10:25,40.0,,30.0,55.0,55.0,45.0,55.0,5.0
2026-04-21 11:48,50.0,,40.0,40.0,75.0,40.0,45.0,5.0
2026-04-21 12:42,45.0,,35.0,55.0,60.0,50.0,35.0,5.0
2026-04-21 13:41,40.0,,45.0,15.0,60.0,40.0,35.0,5.0
2026-04-21 14:43,40.0,,25.0,50.0,55.0,35.0,35.0,5.0
2026-04-21 15:50,30.0,,35.0,25.0,75.0,25.0,30.0,5.0
2026-04-21 16:35,45.0,,30.0,25.0,45.0,30.0,30.0,5.0
2026-04-21 17:25,40.0,,35.0,15.0,55.0,30.0,30.0,5.0
2026-04-21 18:04,30.0,,45.0,15.0,45.0,40.0,45.0,5.0
