,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-21 01:09,,,,,
2026-04-21 03:04,,,,,
2026-04-21 07:53,5.0,35.0,10.0,,
2026-04-21 08:51,10.0,30.0,30.0,15.0,
2026-04-21 10:25,15.0,45.0,40.0,35.0,10.0
2026-04-21 11:48,35.0,50.0,50.0,35.0,25.0
2026-04-21 12:42,25.0,35.0,40.0,10.0,25.0
2026-04-21 13:41,35.0,35.0,45.0,5.0,20.0
2026-04-21 14:43,30.0,35.0,55.0,10.0,35.0
2026-04-21 15:50,20.0,25.0,40.0,5.0,35.0
2026-04-21 16:35,25.0,25.0,35.0,5.0,10.0
2026-04-21 17:25,5.0,25.0,35.0,5.0,5.0
2026-04-21 18:04,,,25.0,,
2026-04-21 18:53,,,,,
2026-04-21 19:24,,,,,
2026-04-21 19:56,,,,,
