,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-21 01:00,,,,,
2026-03-21 01:50,,,,,
2026-03-21 02:26,,,,,
2026-03-21 03:08,,,,,
2026-03-21 07:15,,,,,
2026-03-21 07:36,5.0,30.0,10.0,,
2026-03-21 07:51,5.0,45.0,15.0,,
2026-03-21 08:00,5.0,75.0,15.0,,
2026-03-21 08:56,20.0,120.0,45.0,30.0,
2026-03-21 09:38,45.0,95.0,45.0,40.0,
2026-03-21 10:01,30.0,85.0,45.0,40.0,
2026-03-21 10:33,45.0,130.0,55.0,60.0,5.0
2026-03-21 10:55,45.0,150.0,50.0,70.0,15.0
2026-03-21 11:16,40.0,130.0,45.0,60.0,15.0
