,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-03 01:56,,,,,,,,,,
2026-08-03 05:41,,,,,,,,,,
2026-08-03 09:32,75.0,95.0,60.0,15.0,5.0,5.0,15.0,35.0,5.0,5.0
2026-08-03 12:03,,80.0,65.0,45.0,40.0,25.0,15.0,60.0,10.0,30.0
2026-08-03 13:59,105.0,85.0,55.0,40.0,15.0,15.0,15.0,60.0,15.0,25.0
2026-08-03 15:38,,85.0,75.0,40.0,10.0,20.0,15.0,60.0,10.0,15.0
2026-08-03 16:45,70.0,85.0,50.0,50.0,10.0,5.0,15.0,55.0,10.0,5.0
2026-08-03 17:48,95.0,95.0,45.0,30.0,10.0,20.0,15.0,55.0,5.0,10.0
2026-08-03 18:42,90.0,90.0,60.0,40.0,5.0,10.0,15.0,70.0,10.0,5.0
