,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-16 01:15,,,,,,,,
2026-04-16 03:04,,,,,,,,
2026-04-16 07:52,,,,,,,,
2026-04-16 08:55,30.0,,13.0,15.0,50.0,30.0,5.0,5.0
2026-04-16 10:48,55.0,,35.0,40.0,,30.0,40.0,5.0
2026-04-16 12:11,45.0,,35.0,30.0,70.0,40.0,40.0,5.0
2026-04-16 13:41,65.0,,25.0,30.0,55.0,40.0,25.0,5.0
2026-04-16 14:47,,,20.0,40.0,60.0,45.0,40.0,5.0
2026-04-16 15:50,40.0,,20.0,15.0,50.0,35.0,25.0,5.0
2026-04-16 16:35,50.0,,15.0,15.0,45.0,35.0,30.0,5.0
2026-04-16 17:24,40.0,,20.0,15.0,60.0,40.0,35.0,5.0
2026-04-16 18:03,30.0,,20.0,15.0,50.0,40.0,30.0,5.0
2026-04-16 18:54,,,20.0,15.0,50.0,30.0,25.0,5.0
2026-04-16 19:30,,,30.0,20.0,45.0,35.0,35.0,5.0
