,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-23 00:17,,,,,
2026-08-23 00:55,,,,,
2026-08-23 01:24,,,,,
2026-08-23 01:52,,,,,
2026-08-23 02:19,,,,,
2026-08-23 03:06,,,,,
2026-08-23 07:11,,,,,
2026-08-23 07:32,,25.0,10.0,,
2026-08-23 07:49,5.0,45.0,10.0,,
2026-08-23 08:01,5.0,55.0,10.0,,
2026-08-23 08:51,5.0,90.0,35.0,20.0,
2026-08-23 09:21,20.0,70.0,25.0,30.0,5.0
2026-08-23 09:49,25.0,50.0,30.0,50.0,10.0
2026-08-23 10:02,30.0,55.0,30.0,45.0,10.0
2026-08-23 10:31,30.0,60.0,40.0,45.0,20.0
2026-08-23 10:51,35.0,60.0,50.0,55.0,20.0
2026-08-23 11:07,35.0,65.0,50.0,60.0,20.0
2026-08-23 11:32,30.0,65.0,40.0,50.0,25.0
2026-08-23 11:50,,65.0,45.0,50.0,
2026-08-23 12:01,,65.0,55.0,35.0,
