,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-20 00:01,,,,,
2026-03-20 01:19,,,,,
2026-03-20 02:09,,,,,
2026-03-20 03:12,,,,,
2026-03-20 07:23,,,,,
2026-03-20 07:49,5.0,45.0,10.0,,
2026-03-20 08:03,5.0,60.0,10.0,,
2026-03-20 09:20,20.0,95.0,55.0,40.0,
2026-03-20 10:08,40.0,105.0,50.0,50.0,15.0
2026-03-20 10:59,45.0,140.0,70.0,75.0,15.0
2026-03-20 11:43,55.0,150.0,,75.0,25.0
2026-03-20 12:24,50.0,95.0,,70.0,50.0
2026-03-20 13:06,50.0,110.0,15.0,45.0,40.0
2026-03-20 13:50,45.0,95.0,60.0,50.0,40.0
2026-03-20 14:27,45.0,85.0,65.0,55.0,80.0
2026-03-20 15:10,45.0,70.0,70.0,35.0,80.0
2026-03-20 15:48,60.0,80.0,60.0,30.0,
2026-03-20 16:03,50.0,80.0,60.0,30.0,
2026-03-20 16:46,35.0,75.0,65.0,5.0,40.0
2026-03-20 17:04,30.0,80.0,70.0,5.0,40.0
2026-03-20 17:40,30.0,65.0,55.0,5.0,40.0
2026-03-20 17:57,30.0,50.0,55.0,5.0,40.0
2026-03-20 18:25,15.0,50.0,55.0,5.0,
2026-03-20 18:53,10.0,50.0,40.0,,
2026-03-20 19:16,,,,,
2026-03-20 19:45,,,,,
2026-03-20 19:59,,,,,
2026-03-20 21:45,,,,,
