,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-20 00:01,,,,,,,,
2026-03-20 01:19,,,,,,,,
2026-03-20 02:09,,,,,,,,
2026-03-20 03:12,,,,,,,,
2026-03-20 07:23,,,,,,,,
2026-03-20 07:49,,,,,,,,
2026-03-20 08:03,,,,,,,,
2026-03-20 09:20,85.0,,15.0,75.0,110.0,45.0,40.0,5.0
2026-03-20 10:08,90.0,,55.0,45.0,85.0,50.0,75.0,20.0
2026-03-20 10:59,85.0,,50.0,70.0,95.0,60.0,40.0,15.0
