,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-30 02:03,,,,,
2026-05-30 04:38,,,,,
2026-05-30 08:00,,115.0,10.0,,
2026-05-30 09:49,,160.0,40.0,55.0,45.0
2026-05-30 10:56,55.0,95.0,75.0,65.0,25.0
2026-05-30 11:59,60.0,90.0,50.0,90.0,45.0
2026-05-30 13:07,45.0,70.0,55.0,40.0,75.0
2026-05-30 14:12,45.0,75.0,35.0,50.0,50.0
2026-05-30 15:40,35.0,55.0,40.0,25.0,20.0
2026-05-30 16:36,25.0,55.0,40.0,20.0,40.0
2026-05-30 17:36,15.0,50.0,45.0,15.0,35.0
2026-05-30 18:34,25.0,40.0,30.0,10.0,35.0
