,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-17 02:03,,,,,
2026-05-17 04:31,,,,,
2026-05-17 07:53,5.0,75.0,15.0,,
2026-05-17 08:44,10.0,105.0,40.0,40.0,
2026-05-17 10:11,30.0,105.0,40.0,45.0,20.0
2026-05-17 11:16,25.0,110.0,55.0,50.0,25.0
2026-05-17 12:13,30.0,85.0,55.0,35.0,55.0
2026-05-17 13:13,35.0,95.0,40.0,30.0,40.0
2026-05-17 14:09,25.0,85.0,50.0,5.0,45.0
2026-05-17 15:33,25.0,70.0,40.0,5.0,10.0
2026-05-17 16:25,10.0,60.0,55.0,10.0,10.0
2026-05-17 17:12,15.0,60.0,25.0,10.0,15.0
2026-05-17 18:07,5.0,65.0,20.0,5.0,
2026-05-17 19:07,,,,,
2026-05-17 20:07,,,,,
