,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-17 02:03,,,,,,,,,,
2026-05-17 04:31,,,,,,,,,,
2026-05-17 07:53,,,,,,,,,,
2026-05-17 08:44,30.0,60.0,45.0,,,5.0,15.0,30.0,,5.0
2026-05-17 10:11,85.0,85.0,50.0,,15.0,20.0,15.0,40.0,5.0,5.0
2026-05-17 11:16,85.0,80.0,55.0,,20.0,25.0,15.0,50.0,5.0,25.0
2026-05-17 12:13,65.0,95.0,40.0,,25.0,25.0,15.0,40.0,5.0,15.0
2026-05-17 13:13,90.0,60.0,55.0,,20.0,,15.0,,10.0,20.0
2026-05-17 14:09,95.0,65.0,55.0,,25.0,20.0,15.0,70.0,10.0,5.0
2026-05-17 15:33,70.0,75.0,70.0,,20.0,20.0,15.0,65.0,10.0,5.0
2026-05-17 16:25,70.0,90.0,55.0,,15.0,15.0,15.0,60.0,5.0,10.0
2026-05-17 17:12,80.0,90.0,40.0,,5.0,15.0,15.0,60.0,5.0,5.0
2026-05-17 18:07,,80.0,,,5.0,5.0,15.0,45.0,5.0,5.0
2026-05-17 19:07,95.0,85.0,50.0,,5.0,5.0,15.0,50.0,5.0,5.0
2026-05-17 20:07,65.0,65.0,35.0,,5.0,5.0,15.0,35.0,5.0,5.0
