,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-22 00:21,,,,,
2026-03-22 01:35,,,,,
2026-03-22 02:29,,,,,
2026-03-22 03:23,,,,,
2026-03-22 07:16,,,,,
2026-03-22 07:39,,20.0,10.0,,
2026-03-22 07:54,10.0,60.0,10.0,,
2026-03-22 08:21,10.0,85.0,25.0,35.0,
2026-03-22 09:15,25.0,95.0,50.0,35.0,
2026-03-22 09:53,40.0,65.0,50.0,55.0,
2026-03-22 10:16,30.0,85.0,65.0,55.0,5.0
2026-03-22 10:47,35.0,80.0,60.0,55.0,10.0
2026-03-22 11:01,55.0,80.0,70.0,80.0,15.0
2026-03-22 11:34,25.0,85.0,75.0,80.0,30.0
2026-03-22 11:52,60.0,95.0,75.0,60.0,55.0
