,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-22 00:21,,,,,,,,
2026-03-22 01:35,,,,,,,,
2026-03-22 02:29,,,,,,,,
2026-03-22 03:23,,,,,,,,
2026-03-22 07:16,,,,,,,,
2026-03-22 07:39,,,,,,,,
2026-03-22 07:54,,,,,,,,
2026-03-22 08:21,,,,,,,,
2026-03-22 09:15,80.0,,13.0,45.0,95.0,35.0,95.0,5.0
2026-03-22 09:53,75.0,,30.0,95.0,70.0,55.0,20.0,5.0
2026-03-22 10:16,70.0,,35.0,95.0,95.0,45.0,45.0,10.0
2026-03-22 10:47,70.0,,95.0,125.0,95.0,65.0,45.0,20.0
2026-03-22 11:01,70.0,,40.0,135.0,90.0,65.0,50.0,10.0
2026-03-22 11:34,70.0,,40.0,,85.0,60.0,45.0,15.0
2026-03-22 11:52,75.0,,55.0,,90.0,55.0,55.0,20.0
2026-03-22 12:14,70.0,,45.0,,90.0,50.0,65.0,15.0
2026-03-22 12:47,65.0,,55.0,80.0,75.0,60.0,50.0,10.0
2026-03-22 13:02,70.0,,40.0,80.0,75.0,70.0,45.0,10.0
2026-03-22 13:34,50.0,,40.0,80.0,90.0,65.0,50.0,5.0
2026-03-22 13:53,50.0,,35.0,80.0,70.0,60.0,50.0,5.0
2026-03-22 14:18,55.0,,35.0,65.0,100.0,50.0,55.0,10.0
2026-03-22 14:56,65.0,,35.0,65.0,70.0,55.0,45.0,5.0
2026-03-22 15:21,55.0,,35.0,70.0,90.0,55.0,55.0,5.0
2026-03-22 15:42,55.0,,45.0,70.0,80.0,55.0,45.0,5.0
2026-03-22 15:55,55.0,,40.0,70.0,75.0,30.0,45.0,5.0
2026-03-22 16:15,45.0,,35.0,80.0,75.0,50.0,45.0,5.0
2026-03-22 16:45,50.0,,30.0,70.0,70.0,45.0,40.0,5.0
2026-03-22 17:01,45.0,,25.0,70.0,60.0,35.0,45.0,5.0
2026-03-22 17:32,45.0,,90.0,40.0,60.0,45.0,45.0,5.0
2026-03-22 17:51,45.0,,95.0,40.0,75.0,45.0,45.0,5.0
2026-03-22 18:01,45.0,,95.0,35.0,90.0,40.0,45.0,5.0
2026-03-22 18:33,45.0,,,70.0,70.0,55.0,45.0,5.0
2026-03-22 18:55,45.0,,35.0,55.0,65.0,45.0,60.0,5.0
2026-03-22 19:18,35.0,,40.0,45.0,65.0,30.0,50.0,5.0
