,Morning (05-10),Late Morning (10-12),Noon (12-14),Afternoon (14-16),Late Afternoon (16-18),Evening (18-20),Night (20-24),Morning (05:00-10:00),Late Morning (10:00-12:00),Noon (12:00-14:00),Afternoon (14:00-16:00),Late Afternoon (16:00-18:00),Evening (18:00-20:00),Night (20:00-24:00)
Avatar Flight of Passage,,,,80.0,80.0,65.0,,60.0,90.0,75.0,65.0,65.0,,
Expedition Everest - Legend of the Forbidden Mountain,,,,55.0,45.0,30.0,,10.0,50.0,55.0,60.0,30.0,,
Kali River Rapids,,,,40.0,25.0,35.0,,5.0,20.0,35.0,45.0,50.0,,
Kilimanjaro Safaris,,,,50.0,15.0,15.0,,30.0,45.0,45.0,30.0,10.0,,
Na'vi River Journey,,,,55.0,50.0,45.0,,20.0,50.0,50.0,50.0,45.0,,
