,Morning (05-10),Late Morning (10-12),Noon (12-14),Afternoon (14-16),Late Afternoon (16-18),Evening (18-20),Night (20-24),Morning (05:00-10:00),Late Morning (10:00-12:00),Noon (12:00-14:00),Afternoon (14:00-16:00),Late Afternoon (16:00-18:00),Evening (18:00-20:00),Night (20:00-24:00)
Mickey & Minnie's Runaway Railway,,,,50.0,60.0,70.0,,30.0,55.0,50.0,50.0,60.0,,
Millennium Falcon: Smugglers Run,,,,60.0,60.0,50.0,,40.0,55.0,80.0,60.0,55.0,,
Rock 'n' Roller Coaster Starring Aerosmith,,,,,,,,,,,,,,
Slinky Dog Dash,,,,90.0,85.0,95.0,,60.0,85.0,90.0,75.0,75.0,,
Star Tours,,,,5.0,10.0,5.0,,5.0,10.0,5.0,5.0,5.0,,
Star Wars: Rise of the Resistance,,,,65.0,65.0,,,,100.0,80.0,70.0,60.0,,
The Twilight Zone Tower of Terror,,,,60.0,60.0,70.0,,20.0,50.0,45.0,40.0,45.0,,
Toy Story Mania!,,,,65.0,45.0,65.0,,30.0,80.0,90.0,50.0,75.0,,
