,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-06-19 05:03,,,,,,,,,,,,,,,,,,,,
2026-06-19 09:57,45.0,40.0,30.0,55.0,40.0,30.0,25.0,5.0,15.0,13.0,5.0,5.0,5.0,15.0,35.0,10.0,5.0,5.0,,
2026-06-19 12:30,60.0,55.0,35.0,45.0,50.0,30.0,35.0,10.0,20.0,35.0,15.0,15.0,10.0,10.0,35.0,30.0,10.0,10.0,,
2026-06-19 14:17,60.0,55.0,,30.0,35.0,20.0,50.0,,5.0,30.0,15.0,5.0,15.0,10.0,35.0,20.0,15.0,35.0,,
2026-06-19 16:04,65.0,60.0,20.0,20.0,65.0,30.0,35.0,,,35.0,25.0,,10.0,15.0,45.0,40.0,,25.0,,
2026-06-19 17:17,45.0,,40.0,60.0,45.0,40.0,50.0,20.0,25.0,30.0,,10.0,10.0,15.0,25.0,20.0,5.0,20.0,,
2026-06-19 18:14,,45.0,40.0,50.0,40.0,,30.0,15.0,5.0,20.0,10.0,10.0,5.0,15.0,30.0,25.0,15.0,10.0,,
2026-06-19 19:14,70.0,65.0,20.0,50.0,50.0,40.0,20.0,20.0,25.0,30.0,10.0,15.0,,15.0,,20.0,20.0,10.0,,
2026-06-19 21:28,,40.0,10.0,15.0,40.0,35.0,40.0,5.0,10.0,25.0,5.0,15.0,10.0,10.0,40.0,15.0,20.0,5.0,,
2026-06-19 22:57,85.0,10.0,5.0,5.0,15.0,10.0,10.0,5.0,5.0,13.0,5.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,,
