,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-06-19 05:03,,,,,,,,
2026-06-19 09:57,55.0,,35.0,30.0,65.0,45.0,45.0,5.0
2026-06-19 12:30,80.0,,30.0,65.0,50.0,45.0,40.0,10.0
2026-06-19 14:17,65.0,,85.0,40.0,60.0,45.0,45.0,15.0
2026-06-19 16:04,75.0,,80.0,50.0,65.0,35.0,50.0,15.0
2026-06-19 17:17,70.0,,30.0,35.0,65.0,35.0,30.0,5.0
2026-06-19 18:14,70.0,,80.0,25.0,75.0,45.0,40.0,5.0
2026-06-19 19:14,45.0,,45.0,40.0,60.0,40.0,45.0,
