,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-02 01:39,,,,,
2026-08-02 03:52,,,,,
2026-08-02 07:52,5.0,65.0,10.0,,
2026-08-02 08:45,10.0,50.0,20.0,15.0,
2026-08-02 10:14,25.0,85.0,35.0,35.0,10.0
2026-08-02 11:20,40.0,,55.0,40.0,25.0
2026-08-02 12:17,40.0,65.0,40.0,40.0,30.0
2026-08-02 13:18,45.0,60.0,45.0,25.0,45.0
2026-08-02 14:13,55.0,50.0,40.0,15.0,45.0
2026-08-02 15:33,30.0,50.0,40.0,10.0,35.0
2026-08-02 16:30,30.0,55.0,25.0,10.0,40.0
2026-08-02 17:25,20.0,45.0,35.0,10.0,20.0
2026-08-02 18:24,10.0,40.0,35.0,10.0,5.0
