,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-02 01:39,,,,,,,,,,
2026-08-02 03:52,,,,,,,,,,
2026-08-02 07:52,,,,,,,,,,
2026-08-02 08:45,,60.0,45.0,10.0,,5.0,15.0,25.0,,
2026-08-02 10:14,,60.0,35.0,10.0,15.0,25.0,15.0,40.0,5.0,5.0
2026-08-02 11:20,,70.0,45.0,45.0,20.0,15.0,30.0,50.0,5.0,5.0
2026-08-02 12:17,,,50.0,30.0,10.0,10.0,15.0,60.0,5.0,5.0
2026-08-02 13:18,65.0,85.0,40.0,35.0,5.0,10.0,15.0,55.0,5.0,5.0
2026-08-02 14:13,85.0,75.0,45.0,30.0,5.0,10.0,15.0,45.0,5.0,15.0
2026-08-02 15:33,105.0,65.0,70.0,40.0,5.0,,15.0,45.0,10.0,5.0
2026-08-02 16:30,,90.0,35.0,25.0,5.0,10.0,15.0,55.0,5.0,5.0
2026-08-02 17:25,105.0,95.0,50.0,25.0,5.0,5.0,15.0,45.0,10.0,5.0
2026-08-02 18:24,75.0,80.0,35.0,25.0,5.0,5.0,15.0,45.0,5.0,5.0
