,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-16 01:41,,,,,
2026-05-16 03:33,,,,,
2026-05-16 07:42,5.0,45.0,20.0,,
2026-05-16 08:44,10.0,85.0,40.0,50.0,
2026-05-16 10:09,35.0,95.0,45.0,55.0,20.0
2026-05-16 11:13,50.0,120.0,65.0,50.0,65.0
2026-05-16 12:08,50.0,125.0,65.0,40.0,40.0
2026-05-16 13:12,55.0,120.0,70.0,40.0,75.0
2026-05-16 14:05,45.0,125.0,55.0,30.0,75.0
2026-05-16 15:20,35.0,110.0,50.0,25.0,50.0
2026-05-16 16:07,20.0,105.0,50.0,10.0,45.0
2026-05-16 17:01,20.0,140.0,55.0,15.0,50.0
