,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-16 01:41,,,,,,,,,,
2026-05-16 03:33,,,,,,,,,,
2026-05-16 07:42,,,,,,,,,,
2026-05-16 08:44,10.0,70.0,35.0,,,5.0,15.0,30.0,,5.0
2026-05-16 10:09,70.0,75.0,50.0,,10.0,,15.0,55.0,5.0,5.0
2026-05-16 11:13,95.0,85.0,40.0,,25.0,35.0,15.0,55.0,10.0,20.0
2026-05-16 12:08,95.0,90.0,45.0,,25.0,30.0,15.0,55.0,10.0,35.0
2026-05-16 13:12,65.0,75.0,70.0,,20.0,25.0,15.0,65.0,10.0,20.0
2026-05-16 14:05,85.0,90.0,45.0,,25.0,20.0,15.0,60.0,20.0,10.0
2026-05-16 15:20,90.0,75.0,65.0,,25.0,25.0,15.0,60.0,20.0,10.0
2026-05-16 16:07,80.0,80.0,,,20.0,10.0,15.0,65.0,20.0,5.0
2026-05-16 17:01,110.0,,70.0,,25.0,25.0,15.0,65.0,20.0,15.0
2026-05-16 17:55,105.0,95.0,60.0,,30.0,25.0,15.0,85.0,10.0,25.0
