,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-15 02:20,,,,,
2026-05-15 05:26,,,,,
2026-05-15 08:27,5.0,40.0,20.0,25.0,
2026-05-15 10:58,30.0,60.0,60.0,70.0,20.0
2026-05-15 12:51,40.0,50.0,50.0,25.0,40.0
2026-05-15 14:14,30.0,45.0,45.0,10.0,30.0
2026-05-15 15:54,20.0,65.0,40.0,10.0,30.0
2026-05-15 16:45,20.0,30.0,40.0,10.0,10.0
2026-05-15 17:41,5.0,40.0,45.0,10.0,20.0
2026-05-15 18:36,5.0,15.0,15.0,10.0,
2026-05-15 19:32,,,,,
2026-05-15 21:17,,,,,
2026-05-15 22:36,,,,,
