,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-24 01:17,,,,,
2026-04-24 03:13,,,,,
2026-04-24 07:52,5.0,45.0,10.0,,
2026-04-24 08:48,5.0,55.0,25.0,20.0,
2026-04-24 10:22,40.0,75.0,65.0,40.0,20.0
2026-04-24 11:41,50.0,95.0,55.0,45.0,55.0
2026-04-24 12:37,50.0,75.0,65.0,50.0,55.0
2026-04-24 13:32,50.0,80.0,55.0,50.0,80.0
2026-04-24 14:07,45.0,60.0,55.0,35.0,70.0
2026-04-24 15:10,45.0,85.0,55.0,10.0,40.0
2026-04-24 15:58,30.0,60.0,55.0,10.0,40.0
2026-04-24 16:47,25.0,50.0,60.0,15.0,35.0
2026-04-24 17:34,25.0,80.0,50.0,15.0,20.0
2026-04-24 18:23,10.0,60.0,35.0,5.0,
2026-04-24 19:02,,,,,
2026-04-24 19:50,,,,,
