,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-24 01:17,,,,,,,,
2026-04-24 03:13,,,,,,,,
2026-04-24 07:52,,,,,,,,
2026-04-24 08:48,,,13.0,15.0,60.0,45.0,10.0,5.0
2026-04-24 10:22,60.0,,35.0,65.0,70.0,55.0,40.0,10.0
2026-04-24 11:41,60.0,,55.0,60.0,70.0,50.0,40.0,10.0
2026-04-24 12:37,70.0,,45.0,70.0,80.0,60.0,40.0,5.0
2026-04-24 13:32,70.0,,45.0,70.0,,45.0,45.0,5.0
2026-04-24 14:07,,,45.0,75.0,90.0,55.0,35.0,5.0
2026-04-24 15:10,60.0,,45.0,30.0,70.0,40.0,50.0,5.0
2026-04-24 15:58,60.0,,40.0,30.0,65.0,45.0,50.0,5.0
2026-04-24 16:47,70.0,,50.0,35.0,65.0,35.0,35.0,5.0
2026-04-24 17:34,45.0,,50.0,20.0,65.0,40.0,45.0,5.0
2026-04-24 18:23,60.0,,105.0,70.0,70.0,50.0,45.0,5.0
