,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-22 00:26,,,,,
2026-08-22 00:59,,,,,
2026-08-22 01:33,,,,,
2026-08-22 01:56,,,,,
2026-08-22 02:38,,,,,
2026-08-22 03:17,,,,,
2026-08-22 07:10,,,,,
2026-08-22 07:32,,30.0,5.0,,
2026-08-22 07:49,5.0,55.0,5.0,,
2026-08-22 08:00,5.0,65.0,5.0,,
2026-08-22 08:43,10.0,85.0,35.0,50.0,
2026-08-22 09:18,25.0,55.0,35.0,55.0,10.0
2026-08-22 09:46,20.0,65.0,30.0,55.0,10.0
2026-08-22 09:59,40.0,65.0,45.0,50.0,25.0
2026-08-22 10:21,30.0,60.0,50.0,50.0,20.0
2026-08-22 10:42,20.0,70.0,55.0,45.0,20.0
2026-08-22 10:57,30.0,75.0,55.0,55.0,20.0
2026-08-22 11:15,30.0,80.0,55.0,45.0,35.0
2026-08-22 11:35,40.0,60.0,65.0,45.0,50.0
2026-08-22 11:51,60.0,65.0,60.0,50.0,55.0
2026-08-22 12:00,35.0,70.0,55.0,55.0,55.0
2026-08-22 12:28,45.0,50.0,45.0,35.0,45.0
2026-08-22 12:49,35.0,45.0,45.0,40.0,35.0
2026-08-22 13:02,30.0,60.0,45.0,50.0,35.0
2026-08-22 13:28,25.0,60.0,35.0,30.0,40.0
2026-08-22 13:44,40.0,60.0,50.0,20.0,50.0
2026-08-22 13:58,40.0,65.0,50.0,15.0,50.0
2026-08-22 14:24,35.0,50.0,40.0,10.0,50.0
2026-08-22 14:53,20.0,45.0,35.0,10.0,45.0
2026-08-22 15:11,30.0,55.0,40.0,10.0,65.0
2026-08-22 15:32,25.0,45.0,35.0,10.0,60.0
2026-08-22 15:48,20.0,40.0,35.0,10.0,60.0
2026-08-22 15:59,,45.0,45.0,10.0,
2026-08-22 16:23,,65.0,55.0,10.0,
2026-08-22 16:43,,50.0,55.0,10.0,
2026-08-22 16:59,,45.0,45.0,10.0,
2026-08-22 17:21,30.0,50.0,40.0,10.0,20.0
2026-08-22 17:40,20.0,40.0,35.0,10.0,30.0
2026-08-22 17:55,20.0,25.0,30.0,10.0,45.0
2026-08-22 18:10,15.0,25.0,30.0,10.0,
2026-08-22 18:35,10.0,35.0,30.0,5.0,
2026-08-22 18:53,10.0,40.0,15.0,10.0,10.0
