,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-26 01:44,,,,,
2026-07-26 03:57,,,,,
2026-07-26 07:53,,60.0,10.0,,
2026-07-26 08:47,,65.0,35.0,30.0,
2026-07-26 10:17,,65.0,35.0,50.0,30.0
2026-07-26 11:31,50.0,70.0,60.0,45.0,20.0
2026-07-26 12:30,45.0,60.0,45.0,45.0,40.0
2026-07-26 13:33,60.0,70.0,45.0,15.0,55.0
2026-07-26 14:35,55.0,50.0,40.0,20.0,45.0
2026-07-26 15:47,,45.0,65.0,10.0,
2026-07-26 16:39,,45.0,40.0,10.0,
2026-07-26 17:34,30.0,45.0,45.0,10.0,10.0
2026-07-26 18:33,40.0,40.0,15.0,10.0,35.0
2026-07-26 19:32,,,,,
