,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-26 01:44,,,,,,,,,,,,,,,,,,,,
2026-07-26 03:57,,,,,,,,,,,,,,,,,,,,
2026-07-26 07:53,,,,,,,,,,,,,,,,,,,,
2026-07-26 08:47,,50.0,,,40.0,,25.0,5.0,5.0,,5.0,,5.0,,15.0,,5.0,5.0,,
2026-07-26 10:17,60.0,35.0,30.0,35.0,35.0,35.0,45.0,10.0,10.0,13.0,5.0,10.0,5.0,10.0,,5.0,10.0,5.0,,
2026-07-26 11:31,55.0,45.0,40.0,40.0,35.0,35.0,50.0,15.0,10.0,30.0,20.0,10.0,5.0,10.0,,25.0,30.0,5.0,,
2026-07-26 12:30,60.0,50.0,40.0,40.0,40.0,30.0,45.0,15.0,5.0,25.0,15.0,10.0,15.0,10.0,25.0,25.0,25.0,25.0,,
2026-07-26 13:33,60.0,45.0,40.0,45.0,45.0,35.0,40.0,15.0,5.0,25.0,25.0,10.0,5.0,10.0,20.0,30.0,20.0,15.0,,
2026-07-26 14:35,45.0,40.0,30.0,50.0,45.0,35.0,30.0,5.0,15.0,20.0,25.0,10.0,10.0,10.0,25.0,15.0,10.0,20.0,,
2026-07-26 15:47,55.0,,,,60.0,,40.0,,,35.0,20.0,,,,,30.0,,10.0,,
2026-07-26 16:39,70.0,,,,70.0,,,,,35.0,25.0,,15.0,,40.0,15.0,,35.0,,
2026-07-26 17:34,90.0,,40.0,60.0,45.0,35.0,,25.0,15.0,35.0,10.0,10.0,10.0,15.0,40.0,15.0,25.0,5.0,,
2026-07-26 18:33,65.0,,35.0,55.0,45.0,40.0,45.0,25.0,15.0,25.0,10.0,20.0,10.0,10.0,30.0,15.0,25.0,15.0,,
2026-07-26 19:32,75.0,45.0,50.0,45.0,40.0,40.0,50.0,20.0,20.0,30.0,10.0,20.0,5.0,10.0,30.0,10.0,20.0,30.0,,
