,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-08-11 00:39,,,,,,,,,,,,,,,,,,,,
2026-08-11 01:40,,,,,,,,,,,,,,,,,,,,
2026-08-11 02:34,,,,,,,,,,,,,,,,,,,,
2026-08-11 03:50,,,,,,,,,,,,,,,,,,,,
2026-08-11 07:36,,45.0,,,,,25.0,5.0,5.0,,,,5.0,,5.0,,,5.0,,
2026-08-11 08:26,30.0,30.0,5.0,5.0,25.0,15.0,30.0,5.0,5.0,13.0,5.0,5.0,5.0,15.0,15.0,5.0,5.0,5.0,,
2026-08-11 09:50,40.0,35.0,20.0,25.0,30.0,15.0,15.0,5.0,5.0,13.0,5.0,10.0,5.0,10.0,20.0,5.0,5.0,5.0,,
2026-08-11 10:45,55.0,50.0,30.0,20.0,35.0,20.0,15.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,20.0,5.0,5.0,5.0,,
2026-08-11 11:41,60.0,25.0,20.0,40.0,40.0,20.0,30.0,5.0,5.0,20.0,5.0,5.0,5.0,10.0,25.0,10.0,5.0,5.0,,
2026-08-11 12:32,40.0,40.0,30.0,35.0,45.0,20.0,20.0,5.0,5.0,25.0,10.0,5.0,5.0,15.0,30.0,10.0,10.0,5.0,,
2026-08-11 13:31,60.0,25.0,30.0,25.0,45.0,25.0,30.0,10.0,10.0,20.0,10.0,5.0,5.0,15.0,,5.0,5.0,5.0,,
2026-08-11 14:26,55.0,35.0,10.0,45.0,35.0,25.0,,5.0,5.0,15.0,10.0,5.0,5.0,15.0,10.0,5.0,5.0,5.0,,
2026-08-11 15:31,50.0,40.0,30.0,30.0,45.0,30.0,10.0,10.0,10.0,13.0,5.0,5.0,5.0,10.0,30.0,5.0,5.0,5.0,,
2026-08-11 16:10,55.0,35.0,10.0,15.0,45.0,,40.0,5.0,10.0,,5.0,5.0,5.0,10.0,20.0,10.0,5.0,5.0,,
2026-08-11 17:00,55.0,35.0,20.0,25.0,40.0,25.0,40.0,5.0,10.0,,5.0,5.0,0.0,10.0,25.0,10.0,10.0,5.0,,
2026-08-11 17:52,60.0,50.0,25.0,35.0,35.0,20.0,25.0,5.0,10.0,,5.0,5.0,0.0,10.0,35.0,15.0,15.0,10.0,,
2026-08-11 18:26,60.0,50.0,20.0,25.0,35.0,,25.0,5.0,10.0,,5.0,5.0,0.0,10.0,35.0,20.0,15.0,10.0,,
2026-08-11 19:10,30.0,35.0,20.0,30.0,25.0,20.0,35.0,5.0,10.0,25.0,5.0,5.0,0.0,10.0,,10.0,5.0,5.0,,
