,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-11 00:39,,,,,
2026-08-11 01:40,,,,,
2026-08-11 02:34,,,,,
2026-08-11 03:50,,,,,
2026-08-11 07:36,5.0,30.0,5.0,,
2026-08-11 08:26,5.0,65.0,20.0,20.0,
2026-08-11 09:50,20.0,50.0,30.0,55.0,25.0
2026-08-11 10:45,20.0,45.0,45.0,55.0,15.0
2026-08-11 11:41,35.0,55.0,60.0,45.0,40.0
2026-08-11 12:32,30.0,65.0,40.0,20.0,35.0
2026-08-11 13:31,35.0,45.0,30.0,5.0,60.0
2026-08-11 14:26,20.0,45.0,45.0,5.0,65.0
2026-08-11 15:31,,50.0,40.0,5.0,
2026-08-11 16:10,,60.0,60.0,5.0,
2026-08-11 17:00,,40.0,25.0,5.0,30.0
2026-08-11 17:52,10.0,30.0,25.0,5.0,50.0
